433,147,0.03,-207,Loss
434,18,0.02,-388,Loss
435,18,0.02,-388,Loss
436,72,0.02,-132,Loss
437,27,0.01,-297,Loss
438,132,0.02,-192,Loss
439,29,0.02,-299,Loss
440,11,0.02,-411,Loss
441,36,0.03,-356,Loss
442,288,0.02,-538,Loss
443,18,0.03,-388,Loss
444,42,0.02,-112,Loss
445,46,0.03,-106,Loss
446,81,0.03,-141,Loss
447,165,0.02,-215,Loss
448,11,0.02,-401,Loss
449,42,0.03,-312,Loss
450,83,0.02,-343,Loss
451,12,0.02,-402,Loss
452,93,0.03,-353,Loss
453,27,0.01,-297,Loss
454,75,0.02,-335,Loss
455,37,0.03,-147,Loss
456,17,0.04,-367,Loss
457,36,0.03,-216,Loss
458,55,0.03,-135,Loss
459,12,0.02,-412,Loss
460,33,0.02,-303,Loss
461,83,0.02,-143,Loss
462,14,0.02,-404,Loss
463,39,0.02,-369,Loss
464,147,0.02,-407,Loss
465,12,0.02,-402,Loss
466,50,0.02,-310,Loss
467,29,0.02,-299,Loss
468,45,0.01,-305,Loss
469,27,0.02,-357,Loss
470,39,0.02,-299,Loss
471,11,0.02,-401,Loss
472,18,0.03,-388,Loss
473,11,0.02,-401,Loss
474,173,0.02,-433,Loss
475,110,0.03,-160,Loss
476,49,0.03,-129,Loss
477,11,0.02,-401,Loss
478,33,0.02,-323,Loss
479,42,0.03,-332,Loss
480,29,0.02,-299,Loss
481,11,0.02,-401,Loss
482,60,0.03,-330,Loss
483,95,0.02,-345,Loss
484,78,0.02,-148,Loss
485,11,0.02,-411,Loss
486,53,0.03,-313,Loss
487,159,0.02,-209,Loss
488,58,0.02,-108,Loss
489,40,0.02,-100,Loss
490,108,0.03,-368,Loss
491,45,0.01,-315,Loss
492,33,0.03,-353,Loss
493,118,0.03,-168,Loss
494,17,0.02,-407,Loss
495,33,0.02,-303,Loss
496,18,0.03,-388,Loss
497,47,0.02,-317,Loss
498,71,0.02,-341,Loss
499,18,0.02,-388,Loss
500,54,0.02,-134,Loss
501,66,0.02,-326,Loss
502,15,0.02,-425,Loss
503,11,0.03,-401,Loss
504,11,0.03,-401,Loss
505,14,0.02,-384,Loss
506,11,0.03,-401,Loss
507,8,0.03,-438,Loss
508,8,0.03,-438,Loss
509,8,0.03,-438,Loss
510,8,0.03,-438,Loss
511,8,0.03,-438,Loss
512,9,0.02,-429,Loss
513,47,0.04,-427,Loss
514,9,0.02,-429,Loss
515,8,0.03,-438,Loss
516,21,0.02,-421,Loss
517,62,0.04,-452,Loss
518,8,0.03,-438,Loss
519,35,0.04,-415,Loss
